Epoch, Total Squared Error,
997, 0.996700,
998, 0.996568,
999, 0.996437,
1000, 0.996304,
1001, 0.996171,
1002, 0.996037,
1003, 0.995903,
1004, 0.995768,
1005, 0.995633,
1006, 0.995497,
1007, 0.995360,
1008, 0.995223,
1009, 0.995085,
1010, 0.994946,
1011, 0.994807,
1012, 0.994667,
1013, 0.994526,
1014, 0.994385,
1015, 0.994244,
1016, 0.994101,
1017, 0.993958,
1018, 0.993814,
1019, 0.993670,
1020, 0.993525,
1021, 0.993379,
1022, 0.993233,
1023, 0.993086,
1024, 0.992939,
1025, 0.992790,
1026, 0.992641,
1027, 0.992492,
1028, 0.992341,
1029, 0.992190,
1030, 0.992039,
1031, 0.991887,
1032, 0.991734,
1033, 0.991580,
1034, 0.991425,
1035, 0.991270,
1036, 0.991115,
1037, 0.990958,
1038, 0.990801,
1039, 0.990643,
1040, 0.990485,
1041, 0.990325,
1042, 0.990165,
1043, 0.990005,
1044, 0.989843,
1045, 0.989681,
1046, 0.989518,
1047, 0.989355,
1048, 0.989190,
1049, 0.989025,
1050, 0.988859,
1051, 0.988693,
1052, 0.988526,
1053, 0.988358,
1054, 0.988189,
1055, 0.988020,
1056, 0.987849,
1057, 0.987678,
1058, 0.987507,
1059, 0.987334,
1060, 0.987161,
1061, 0.986987,
1062, 0.986812,
1063, 0.986637,
1064, 0.986460,
1065, 0.986283,
1066, 0.986105,
1067, 0.985927,
1068, 0.985747,
1069, 0.985567,
1070, 0.985386,
1071, 0.985204,
1072, 0.985021,
1073, 0.984838,
1074, 0.984654,
1075, 0.984469,
1076, 0.984283,
1077, 0.984096,
1078, 0.983909,
1079, 0.983721,
1080, 0.983532,
1081, 0.983342,
1082, 0.983151,
1083, 0.982960,
1084, 0.982767,
1085, 0.982574,
1086, 0.982380,
1087, 0.982185,
1088, 0.981989,
1089, 0.981793,
1090, 0.981595,
1091, 0.981397,
1092, 0.981198,
1093, 0.980998,
1094, 0.980797,
1095, 0.980595,
1096, 0.980393,
1097, 0.980189,
1098, 0.979985,
1099, 0.979780,
1100, 0.979574,
1101, 0.979367,
1102, 0.979159,
1103, 0.978950,
1104, 0.978741,
1105, 0.978530,
1106, 0.978319,
1107, 0.978106,
1108, 0.977893,
1109, 0.977679,
1110, 0.977464,
1111, 0.977248,
1112, 0.977031,
1113, 0.976813,
1114, 0.976595,
1115, 0.976375,
1116, 0.976154,
1117, 0.975933,
1118, 0.975711,
1119, 0.975487,
1120, 0.975263,
1121, 0.975038,
1122, 0.974812,
1123, 0.974584,
1124, 0.974356,
1125, 0.974127,
1126, 0.973897,
1127, 0.973666,
1128, 0.973435,
1129, 0.973202,
1130, 0.972968,
1131, 0.972733,
1132, 0.972497,
1133, 0.972260,
1134, 0.972023,
1135, 0.971784,
1136, 0.971544,
1137, 0.971303,
1138, 0.971062,
1139, 0.970819,
1140, 0.970575,
1141, 0.970331,
1142, 0.970085,
1143, 0.969838,
1144, 0.969590,
1145, 0.969342,
1146, 0.969092,
1147, 0.968841,
1148, 0.968589,
1149, 0.968337,
1150, 0.968083,
1151, 0.967828,
1152, 0.967572,
1153, 0.967315,
1154, 0.967057,
1155, 0.966798,
1156, 0.966538,
1157, 0.966277,
1158, 0.966014,
1159, 0.965751,
1160, 0.965487,
1161, 0.965222,
1162, 0.964955,
1163, 0.964688,
1164, 0.964419,
1165, 0.964149,
1166, 0.963879,
1167, 0.963607,
1168, 0.963334,
1169, 0.963060,
1170, 0.962785,
1171, 0.962509,
1172, 0.962232,
1173, 0.961953,
1174, 0.961674,
1175, 0.961393,
1176, 0.961112,
1177, 0.960829,
1178, 0.960545,
1179, 0.960260,
1180, 0.959974,
1181, 0.959687,
1182, 0.959399,
1183, 0.959110,
1184, 0.958819,
1185, 0.958528,
1186, 0.958235,
1187, 0.957941,
1188, 0.957646,
1189, 0.957350,
1190, 0.957052,
1191, 0.956754,
1192, 0.956455,
1193, 0.956154,
1194, 0.955852,
1195, 0.955549,
1196, 0.955245,
1197, 0.954940,
1198, 0.954633,
1199, 0.954325,
1200, 0.954017,
1201, 0.953707,
1202, 0.953396,
1203, 0.953083,
1204, 0.952770,
1205, 0.952455,
1206, 0.952140,
1207, 0.951823,
1208, 0.951505,
1209, 0.951185,
1210, 0.950865,
1211, 0.950543,
1212, 0.950220,
1213, 0.949896,
1214, 0.949571,
1215, 0.949245,
1216, 0.948917,
1217, 0.948589,
1218, 0.948259,
1219, 0.947927,
1220, 0.947595,
1221, 0.947262,
1222, 0.946927,
1223, 0.946591,
1224, 0.946254,
1225, 0.945915,
1226, 0.945576,
1227, 0.945235,
1228, 0.944893,
1229, 0.944550,
1230, 0.944206,
1231, 0.943860,
1232, 0.943513,
1233, 0.943165,
1234, 0.942816,
1235, 0.942465,
1236, 0.942114,
1237, 0.941761,
1238, 0.941407,
1239, 0.941051,
1240, 0.940695,
1241, 0.940337,
1242, 0.939978,
1243, 0.939618,
1244, 0.939257,
1245, 0.938894,
1246, 0.938530,
1247, 0.938165,
1248, 0.937799,
1249, 0.937431,
1250, 0.937062,
1251, 0.936692,
1252, 0.936321,
1253, 0.935948,
1254, 0.935575,
1255, 0.935200,
1256, 0.934824,
1257, 0.934446,
1258, 0.934068,
1259, 0.933688,
1260, 0.933307,
1261, 0.932924,
1262, 0.932541,
1263, 0.932156,
1264, 0.931770,
1265, 0.931383,
1266, 0.930994,
1267, 0.930605,
1268, 0.930214,
1269, 0.929822,
1270, 0.929428,
1271, 0.929034,
1272, 0.928638,
1273, 0.928241,
1274, 0.927843,
1275, 0.927443,
1276, 0.927043,
1277, 0.926641,
1278, 0.926237,
1279, 0.925833,
1280, 0.925428,
1281, 0.925021,
1282, 0.924613,
1283, 0.924203,
1284, 0.923793,
1285, 0.923381,
1286, 0.922968,
1287, 0.922554,
1288, 0.922139,
1289, 0.921723,
1290, 0.921305,
1291, 0.920886,
1292, 0.920466,
1293, 0.920045,
1294, 0.919622,
1295, 0.919198,
1296, 0.918773,
1297, 0.918347,
1298, 0.917920,
1299, 0.917492,
1300, 0.917062,
1301, 0.916631,
1302, 0.916199,
1303, 0.915766,
1304, 0.915331,
1305, 0.914896,
1306, 0.914459,
1307, 0.914021,
1308, 0.913582,
1309, 0.913142,
1310, 0.912700,
1311, 0.912258,
1312, 0.911814,
1313, 0.911369,
1314, 0.910923,
1315, 0.910476,
1316, 0.910028,
1317, 0.909578,
